governorate,year,month,ETa_mean,ETa_max,ETa_std,PET_mean,PET_max,PET_std,image_count
Gafsa,2018,10,,,,,,,0
Gafsa,2018,11,,,,,,,0
Gafsa,2018,12,,,,,,,0
Gafsa,2019,1,,,,,,,0
Gafsa,2019,2,,,,,,,0
Gafsa,2019,3,,,,,,,0
Gafsa,2019,4,,,,,,,0
Gafsa,2019,5,,,,,,,0
Gafsa,2019,6,,,,,,,0
Gafsa,2019,7,,,,,,,0
Gafsa,2019,8,,,,,,,0
Gafsa,2019,9,,,,,,,0
Gafsa,2019,10,,,,,,,0
Gafsa,2019,11,,,,,,,0
Gafsa,2019,12,,,,,,,0
Gafsa,2020,1,,,,,,,0
Gafsa,2020,2,,,,,,,0
Gafsa,2020,3,,,,,,,0
Gafsa,2020,4,,,,,,,0
Gafsa,2020,5,,,,,,,0
Gafsa,2020,6,,,,,,,0
Gafsa,2020,7,,,,,,,0
Gafsa,2020,8,,,,,,,0
Gafsa,2020,9,,,,,,,0
Gafsa,2020,10,,,,,,,0
Gafsa,2020,11,,,,,,,0
Gafsa,2020,12,,,,,,,0
Gafsa,2021,1,4.817794332513876,5.38110678997089,0.38802755039182013,23.825740757601388,26.328409748145447,1.5041783536352893,4
Gafsa,2021,2,4.137067860688753,6.073083689935793,1.2054467427300741,30.933549592671042,35.19079172248738,3.595295328918596,4
Gafsa,2021,3,3.69552833526268,5.230950058313753,1.0939167641022618,38.35319314196047,45.67331252249091,5.4755813620797245,4
Gafsa,2021,4,4.18057698060688,5.25870114329565,1.0752818741209178,45.17441884999869,51.49510095426375,4.676622090536485,3
Gafsa,2021,5,3.4215834232968776,5.820366270827125,1.8640021151711699,52.21003210506008,61.46969533793784,7.903877620511062,4
Gafsa,2021,6,2.404882223638512,5.095335249665081,1.7780007647279816,59.14731633347651,68.94006243252736,6.568676327665123,4
Gafsa,2021,7,0.7394303031879625,1.0813847881413179,0.26725345777084114,65.98792578766871,70.5686104860632,3.0022244330338133,4
Gafsa,2021,8,0.9170805856517966,1.4855615242208133,0.38649569216792506,61.5006950604599,67.86483635307336,5.140530456557456,4
Gafsa,2021,9,1.9880378193705672,2.6950250814007504,0.5789776856866855,49.12072842284175,55.904493754579576,5.6798634977049005,4
Gafsa,2021,10,3.128786337681946,3.8168943286118653,0.5580983027173717,36.4019324023372,39.90908852845663,3.27524365980722,3
Gafsa,2021,11,4.342176185459265,6.325899700410601,1.7212240544745212,28.887277031333266,37.14690443054166,7.2966352135434756,4
Gafsa,2021,12,4.878036627082695,5.924193818312798,1.085675166368719,20.129354235223182,24.073228412002557,3.203883845026657,4
Gafsa,2022,1,4.802020667767896,5.943317161574466,0.9169148912650334,22.590429787252486,26.03337460817076,3.2945228207748904,4
Gafsa,2022,2,4.598125159874972,5.964511010236311,0.9109056488030169,27.359460955824712,32.58981820861984,3.119615451973296,4
Gafsa,2022,3,5.283049460435561,6.8652050518320245,1.1566105911065299,33.379219571730275,37.59481957433151,2.9754767662181147,4
Gafsa,2022,4,3.2693441838753494,3.91772650217431,0.5629952750456534,46.20357067810108,51.2877112842457,3.697966071700678,3
Gafsa,2022,5,1.7294825904296152,2.855187405971858,0.8695962753887228,60.202942241241026,65.72262459408026,5.370789705740609,4
Gafsa,2022,6,0.5140755650360486,0.964901213532232,0.33572350878346435,67.0922316160051,70.40488118309652,2.350312620844459,4
Gafsa,2022,7,0.9179516061201194,1.596847417504506,0.4526305114493767,64.44177356069187,67.96347046811415,3.142444477340494,4
Gafsa,2022,8,0.612437708379401,1.0456414725405143,0.3178173884711037,63.56894636438918,68.40998261427538,3.294370312987787,4
Gafsa,2022,9,1.4872842500943013,2.3000433559217943,0.675923529466607,51.159640427662765,60.2253250610234,6.032488521194587,4
Gafsa,2022,10,1.4235063668171173,1.6935710972083144,0.27006473039119916,46.68762396541947,47.67014658637149,0.9825226209521745,2
Gafsa,2022,11,3.0996884226682173,4.938199255145324,1.4097123692960873,33.05251761334321,42.51964595554275,6.68293337269251,4
Gafsa,2022,12,3.6573280829311994,5.1218347358973615,1.3943682247233022,25.907010392414467,29.084933296914382,2.9289998533808936,4
Gafsa,2023,1,4.473877818676866,5.216806489514362,0.7760580738627638,24.756596321683556,30.121094476889134,3.2301937208167137,4
Gafsa,2023,2,3.9159223105237855,5.769122779634822,1.6153495101860829,30.589513503201783,41.96599924560703,8.110408765174121,4
Gafsa,2023,3,2.367154680922093,3.8385819145108453,0.8868925980024727,44.07258782825845,48.06481588907842,4.214916212469297,4
Gafsa,2023,4,1.836448282888709,2.700440149317801,0.6410632282562845,52.45424594658262,58.77374226638733,4.495199622114796,3
Gafsa,2023,5,3.4573620306179524,3.963218743632101,0.3771861385302885,49.218141960294524,51.759786688864864,1.8728800933455125,4
Gafsa,2023,6,1.786875186972414,3.7563513390476353,1.306999455465738,60.67594479056907,68.46315197551249,7.34428403479488,4
Gafsa,2023,7,0.22094058504480985,0.352501506618276,0.09972114597176947,72.26228795702573,76.53619846606732,3.3746332784096444,4
Gafsa,2023,8,1.1892470377066542,2.2273600145676062,0.6609186483113821,59.584713157221685,65.53284453867113,5.448753785788476,4
Gafsa,2023,9,1.4165087643995837,2.2103605044895254,0.5423683853713667,52.00115257382422,57.02431859665556,4.479197225277967,4
Gafsa,2023,10,1.1346608338499904,1.5736530399004525,0.4502260770845335,48.89688707372091,54.809368694423036,4.7762628746160045,3
Gafsa,2023,11,3.6072118673828877,4.928387983472663,0.8446088604645178,31.129374764252244,35.56156835711385,3.529150999252946,4
Gafsa,2023,12,4.904772554834405,6.296149300452276,1.0049186296153338,19.01191058708262,22.161025540973373,3.196725162804584,4
