governorate,year,month,precip_total_mm,precip_max_daily_mm,rain_days
Gafsa,2006,6,5.739195092250073,2.478724863426674,3.5722931934945157
Gafsa,2006,7,3.2854684819756246,1.936690982597249,1.8120047227511087
Gafsa,2006,8,5.03893587910907,4.518047156817336,1.3492708455213638
Gafsa,2006,9,20.92138461992319,9.851201134944908,3.2809292331911557
Gafsa,2006,10,17.67798578128746,10.94514583046338,2.357376107559593
Gafsa,2006,11,18.944706618033294,11.055099562264278,2.583429951176964
Gafsa,2006,12,20.191701296457733,7.819507928072263,4.004095178326401
Gafsa,2007,1,6.899215609567181,5.254054913386353,1.9880973907863804
Gafsa,2007,2,12.884986238353356,7.543744441678351,4.689202557093168
Gafsa,2007,3,20.893629665435004,11.768550773061174,3.478487017752862
Gafsa,2007,4,47.998385578623775,23.172000787535417,7.75688468616042
Gafsa,2007,5,8.212113548547876,3.514401515777166,3.0581515322349033
Gafsa,2007,6,6.837244566998396,4.607870141576802,2.1185474349292126
Gafsa,2007,7,0.48781406822935247,0.39583492136179865,0.34854754129748
Gafsa,2007,8,2.088014575623385,1.849813401788459,0.6724495548487973
Gafsa,2007,9,14.370769468156645,5.430215748826821,4.148319913203493
Gafsa,2007,10,11.149018354641555,5.015822750845986,3.7519917458223864
Gafsa,2007,11,8.617709547753954,6.76350201609976,1.5247040302936832
Gafsa,2007,12,10.938538239557692,8.902581773622327,1.9892461680831377
Gafsa,2008,1,11.106917852015776,6.75316978807218,2.6209992235116415
Gafsa,2008,2,0.5138476348494642,0.4018471387211381,0.16665780264431507
Gafsa,2008,3,9.268829315669706,3.575033853635377,4.210215608479677
Gafsa,2008,4,8.432596833184261,3.6039868216744178,3.4866454639251994
Gafsa,2008,5,10.03048772739543,4.081957409852881,4.139863635880142
Gafsa,2008,6,3.2732264356118215,2.743166783118896,0.7712763128503503
Gafsa,2008,7,1.3420627711548674,1.1868862667340938,0.43755650814249075
Gafsa,2008,8,4.981290588233031,3.6862349433529054,1.4487251763054039
Gafsa,2008,9,23.228636215730358,9.67702063079991,5.187878272153849
Gafsa,2008,10,14.1786057943639,5.6088983680689815,3.867901247699785
Gafsa,2008,11,16.0273209759676,10.217792820973845,2.3217108272260205
Gafsa,2008,12,8.770780793783347,8.317879657872263,1.1685830682990646
Gafsa,2009,1,68.55950580545196,12.939164747562947,11.684532990118383
Gafsa,2009,2,3.7297796571267616,2.3299194765178677,2.196111176113942
Gafsa,2009,3,14.159131968982416,7.9428155922364025,3.7619265420739656
Gafsa,2009,4,27.49698526406185,10.68019606628808,3.920351440758191
Gafsa,2009,5,14.571513416637448,7.815440244726313,2.6483252316169033
Gafsa,2009,6,4.4976698378814195,1.7643679267183694,3.8149936710880423
Gafsa,2009,7,0.8718490445838168,0.7624176739663652,0.3523023411655834
Gafsa,2009,8,3.270443693935872,2.5479608995522405,1.2100454192505288
Gafsa,2009,9,58.29312280974805,16.54473816547732,8.047695531469053
Gafsa,2009,10,7.096525053198873,4.949104941070182,1.7610543222745791
Gafsa,2009,11,7.283982872876094,4.812409774898492,2.080584600002127
Gafsa,2009,12,7.7478250876586845,3.7170282157999956,3.275355535936519
Gafsa,2010,1,14.21191883057994,7.865074726591673,3.27076042674949
Gafsa,2010,2,5.286823574415984,2.6016129043061857,3.304096242009083
Gafsa,2010,3,8.721326559310013,3.9962507384534978,3.3284120281237692
Gafsa,2010,4,33.734800178095384,8.601372216938316,6.2480082541776145
Gafsa,2010,5,9.419982028301296,3.099236256858445,5.3225298628913
Gafsa,2010,6,6.204594523464957,3.407956763161279,2.9632497633306016
Gafsa,2010,7,1.220758957767525,1.2010104778030724,0.30181996106921377
Gafsa,2010,8,0.2943002605415914,0.20754623297063152,0.1128035484454277
Gafsa,2010,9,17.48021081015889,10.652421473330786,2.507610649591013
Gafsa,2010,10,28.872951036571003,13.00517260904152,4.227660004467466
Gafsa,2010,11,33.35151138850132,15.953015254076481,3.884005403508025
Gafsa,2010,12,8.779489067208349,4.071874983957661,3.302351802410305
Gafsa,2011,1,6.141939741437665,4.332928419298285,1.633742142044186
Gafsa,2011,2,8.834472737953494,3.190676327458648,5.00636082243945
Gafsa,2011,3,21.674771239093776,8.670095855544337,5.046387201769967
Gafsa,2011,4,17.416441314785676,12.292321089111297,2.962473274972609
Gafsa,2011,5,12.753815384261253,6.451524637890034,2.8949719719613247
Gafsa,2011,6,3.574819211561658,2.9361886934872268,1.1831555210449616
Gafsa,2011,7,0.9131512955317241,0.7936409668861785,0.34731366938614866
Gafsa,2011,8,4.5823406192295035,2.308038192237477,2.725272036845968
Gafsa,2011,9,7.926651361439694,5.206100988642676,1.8359801304074974
Gafsa,2011,10,17.37852618764502,8.933609134073382,2.6176698967164107
Gafsa,2011,11,10.21185128407796,6.416979608814426,2.1158244072628247
